event_id,event_name,entity,entity_type,pct_global_CO2_1854_2022,loss_eur_low,loss_eur_central,loss_eur_high
E1,April 2023 Iberian heatwave,Navajo Transitional Energy Company,investor_owned,0.02,3377.869351890639,4222.3366898632985,5911.271365808617
E1,April 2023 Iberian heatwave,Wolverine Fuels,investor_owned,0.02,3334.5633345587075,4168.204168198385,5835.485835477737
E1,April 2023 Iberian heatwave,Seriti Resources,investor_owned,0.02,3126.694451365437,3908.368064206796,5471.715289889514
E1,April 2023 Iberian heatwave,Obsidian Energy,investor_owned,0.02,3083.3884340335057,3854.2355425418823,5395.929759558634
E1,April 2023 Iberian heatwave,Vale,investor_owned,0.02,2745.601498844442,3432.0018735555527,4804.802622977773
E1,April 2023 Iberian heatwave,SM Energy,investor_owned,0.02,2736.940295378056,3421.1753692225698,4789.645516911597
E1,April 2023 Iberian heatwave,Adani Enterprises,investor_owned,0.02,2736.940295378056,3421.1753692225698,4789.645516911597
E1,April 2023 Iberian heatwave,CNX Resources,investor_owned,0.01,1966.0931868696794,2457.616483587099,3440.6630770219385
E1,April 2023 Iberian heatwave,CRH,investor_owned,0.01,1879.481152205817,2349.351440257271,3289.092016360179
E1,April 2023 Iberian heatwave,Tullow Oil,investor_owned,0.01,1827.5139314074993,2284.392414259374,3198.149379963123
E1,April 2023 Iberian heatwave,Slovakia,nation_state,0.01,900.7651605041702,1125.9564506302129,1576.3390308822977
E2,July 2022 Iberian heatwave,China (Coal),nation_state,14.01,5424246.566666455,5424246.566666455,10848493.13333291
E2,July 2022 Iberian heatwave,Former Soviet Union,nation_state,6.82,2650985.778534189,2650985.778534189,5301971.557068378
E2,July 2022 Iberian heatwave,Saudi Aramco,state_owned,3.63,1350518.8479869834,1350518.8479869834,2701037.6959739667
E2,July 2022 Iberian heatwave,Chevron,investor_owned,2.98,1135988.2069495346,1135988.2069495346,2271976.413899069
E2,July 2022 Iberian heatwave,ExxonMobil,investor_owned,2.79,1081188.126428445,1081188.126428445,2162376.25285689
E2,July 2022 Iberian heatwave,Gazprom,state_owned,2.31,994504.7194316048,994504.7194316048,1989009.4388632097
E2,July 2022 Iberian heatwave,National Iranian Oil Co.,state_owned,2.22,845879.3667831072,845879.3667831072,1691758.7335662143
E2,July 2022 Iberian heatwave,BP,investor_owned,2.19,834460.2307776384,834460.2307776384,1668920.4615552768
E2,July 2022 Iberian heatwave,Shell,investor_owned,2.06,798044.5668151814,798044.5668151814,1596089.1336303628
E2,July 2022 Iberian heatwave,Coal India,state_owned,1.49,576666.3682761714,576666.3682761714,1153332.7365523428
E2,July 2022 Iberian heatwave,Poland,nation_state,1.46,564089.6222632754,564089.6222632754,1128179.2445265509
E2,July 2022 Iberian heatwave,Pemex,state_owned,1.32,500264.1077859733,500264.1077859733,1000528.2155719466
E2,July 2022 Iberian heatwave,Russian Federation,nation_state,1.19,459355.34735401056,459355.34735401056,918710.6947080211
E2,July 2022 Iberian heatwave,China (Cement),nation_state,1.31,454430.5996952947,454430.5996952947,908861.1993905894
E2,July 2022 Iberian heatwave,ConocoPhillips,investor_owned,1.01,396765.92491853755,396765.92491853755,793531.8498370751
E2,July 2022 Iberian heatwave,British Coal Corporation,investor_owned,1.0,387406.94231611735,387406.94231611735,774813.8846322347
E2,July 2022 Iberian heatwave,CNPC (PetroChina),state_owned,0.97,371828.25848735066,371828.25848735066,743656.5169747013
E2,July 2022 Iberian heatwave,Peabody Coal Group,investor_owned,0.9,347969.7200291892,347969.7200291892,695939.4400583784
E2,July 2022 Iberian heatwave,TotalEnergies,investor_owned,0.9,345007.02323051944,345007.02323051944,690014.0464610389
E2,July 2022 Iberian heatwave,Abu Dhabi National Oil Company,state_owned,0.9,341063.30100182665,341063.30100182665,682126.6020036533
E2,July 2022 Iberian heatwave,Petroleos de Venezuela,state_owned,0.88,331606.2158564041,331606.2158564041,663212.4317128082
E2,July 2022 Iberian heatwave,Kuwait Petroleum Corp.,state_owned,0.84,312397.73793655203,312397.73793655203,624795.4758731041
E2,July 2022 Iberian heatwave,Iraq National Oil Company,state_owned,0.81,297996.2846238131,297996.2846238131,595992.5692476262
